1_1	What is a physician's assistant?
1_2	What are the educational requirements required to become a physician's assistant?
1_3	What does the education to become a physician's assistant cost?
1_4	What's the average starting salary of a physician's assistant in the UK?
1_5	What's the average starting salary of a physician's assistant in the US?
1_6	What school subjects are needed to become a registered nurse?
1_7	What is the physician's assistant average salary vs a registered nurse?
1_8	What the difference between a physician's assistant and a nurse practitioner?
1_9	Do nurse practitioners or physician's assistant's make more?
1_10	Is a physician's assistant above a nurse practitioner?
1_11	What is the fastest way to become a nurse practitioner?
1_12	How much longer does it take to become a doctor after being a nurse practitioner?
2_1	What are the main breeds of goat?
2_2	Tell me about boer goats.
2_3	What goat breed is good for meat?
2_4	Are angora goats good for meat?
2_5	Are boer goats good for meat?
2_6	What are pygmy goats used for?
2_7	What goat breed is the best for fiber production?
2_8	How long do Angora goats live?
2_9	Can you milk Angora goats?
2_10	How many Angora goats can you have per acre?
2_11	Are Angora goats profitable?
4_1	What was the neolithic revolution?
4_2	When did the neolithic revolution start and end?
4_3	Why did the neolithic revolution start?
4_4	What did the neolithic invent?
4_5	What tools were used in the neolithic?
4_6	When was the neolithic tool brought to the british isles?
4_7	Describe the period that follows the neolithic.
4_8	What was the significance of the neolithic?
4_9	What were the houses like in the neolithic?
7_1	What are the different types of macromolecules?
7_2	Tell me about the characteristics of carbohydrates.
7_3	What are carbohydrates composed of?
7_4	What is the basic structure of carbohydrates?
7_5	What are the main types of carbohydrates with examples of each?
7_6	Tell me about lipids.
7_7	What is the function of lipids?
7_8	What are the types of lipids?
7_9	What is the most common lipid?
7_10	What is the difference between lipids and carbohydrates?
7_11	Why are carbs better than lipids?
15_1	Tell me about the International Linguistics Olympiad.
15_2	How do I prepare for the International Linguistics Olympiad?
15_3	How tough is the exam for the International Linguistics Olympiad?
15_4	What kind of problems can I expect in the International Linguistics Olympiad?
15_5	Tell me about the history of linguistics as a field.
15_6	Who was Panini and what were his contributions?
15_7	What is the link between linguistics and computer science?
17_1	What are the different forms of energy?
17_2	How can energy be stored?
17_3	What type of energy is used in motion?
17_4	Tell me about mechanical energy.
17_5	Give me some mechanical energy examples.
17_6	Why is sound a form of mechanical energy?
17_7	How does mechanical energy differ from potential energy?
17_8	Are potential and kinetic energy the same?
17_9	What type does chemical energy belong to?
17_10	What form of energy is used in eating?
18_1	Describe Uranus.
18_2	What makes Uranus so unusual?
18_3	Tell me about the orbit of Uranus.
18_4	Why is Uranus tilted?
18_5	How is Uranus rotation different from other planets?
18_6	What is peculiar about Uranus seasons?
18_7	Are there any other planets similar to Uranus?
18_8	Describe the characteristics of Neptune.
18_9	Why is Neptune important to our solar system?
18_10	How are Uranus and Neptune planets similar to each other?
18_11	Can life exist on Uranus or Neptune?
22_1	What are the most common spices used in cooking?
22_2	How are spices different from herbs?
22_3	Why do spices taste good?
22_4	Where do most of spices come from?
22_5	What cuisines use spices heavily?
22_6	What are the most popular Indian spices?
22_7	Tell me about turmeric.
22_8	Are there any benefits of consuming turmeric?
22_9	What is the oldest spice?
22_10	What is the most expensive spice and why?
23_1	What are the main types of cattle farming?
23_2	What cattle breeds produce the most milk?
23_3	How much milk do Holsteins cows produce?
23_4	What is special about Jersey cows milk? 
23_5	Do we eat dairy cows?
23_6	What are the most common cattle breeds for meat? 
23_7	Where are angus beef from?
23_8	How much space do angus cattle need?
24_1	How can I help my friend stop smoking?
24_2	What are the long term effects of smoking?
24_3	Does smoking cause cancer?
24_4	What makes smoking so addictive?
24_5	Are there any alternatives to nicotine?
24_6	How effective are the nicotine patches?
24_7	Tell me about the cold turkey method to quit smoking.
24_8	Describe typical nicotine withdrawal symptoms.
25_1	Tell me about Orca whales.
25_2	Are Orca whales really whales?
25_3	How do Orca whales hunt?
25_4	What do Orca whales eat?
25_5	Where did Orca whales get their name?
25_6	Are Orca whales dangerous?
25_7	Where can go to watch Orca whales?
25_8	When is a good season for spotting Orca whales?
25_9	How does captivity affect Orca whales?
27_1	What comprises a balanced diet?
27_2	Is a balanced diet the same for men as well as women?
27_3	What are some specific balanced diet recommendations for women?
27_4	Are dairy products necessary for a good health?
27_5	Can dairy products harm you instead?
27_6	How necessary is fiber?
27_7	What happens if fiber is consumed in a smaller amount than recommended?
30_1	What are some advantages of using Linux?
30_2	Can I run Windows software in Linux?
30_3	How does Linux compare to Windows?
30_4	Which of Linux and Windows is more popular?
30_5	How do I install software on Linux?
30_6	What is an easy way to install Python on Linux?
30_7	Tell me about how I can share files on Linux.
