qid,conv_id,turn,year,raw_utterance
106_1,106,1,2021,I just had a breast biopsy for cancer. What are the most common types?
106_2,106,2,2021,"Once it breaks out, how likely is it to spread?"
106_3,106,3,2021,How deadly is it?
106_4,106,4,2021,"What? No, I want to know about the deadliness of lobular carcinoma in situ."
106_5,106,5,2021,"Wow, that's better than I thought.  What are common treatments?"
106_6,106,6,2021,How does it behave differently from PLCIS?
106_7,106,7,2021,What makes lobular cancer distinct?
106_8,106,8,2021,"For the first stage, what are the alternatives to surgery?"
106_9,106,9,2021,"No, I meant for lobular."
106_10,106,10,2021,Does freezing work?
107_1,107,1,2021,How do I build a cheap driveway?
107_2,107,2,2021,Which is cheaper: concrete or asphalt?
107_3,107,3,2021,Really?  What type of product?
107_4,107,4,2021,Who knew?  Which is more environmentally friendly?
107_5,107,5,2021,No.  Which type of driveway is better for the environment?
107_6,107,6,2021,And most low-maintenance?
107_7,107,7,2021,Really? What about asphalt?
107_8,107,8,2021,Is sealing worth it?
108_1,108,1,2021,How can fires help an ecosystem?
108_2,108,2,2021,Give me some examples.
108_3,108,3,2021,Cool name!  What are other fire-followers?
108_4,108,4,2021,"Let’s talk about other environmental influences besides fire. More broadly, what are the effects of agriculture?"
108_5,108,5,2021,Can it cause desertification?
108_6,108,6,2021,What does it mean to be tired?
108_7,108,7,2021,That sounds like organic farming.  How are they related?
108_8,108,8,2021,"Does organic farming reduce global warming, and if so, how?"
109_1,109,1,2021,Why do cats eat plastic?
109_2,109,2,2021,Will it kill him?
109_3,109,3,2021,What?  No.  Will eating plastic kill my cat?
109_4,109,4,2021,How do I get him to stop?
109_5,109,5,2021,Should I get a second one?
109_6,109,6,2021,What are his desires?
109_7,109,7,2021,What does the slow blink mean?
110_1,110,1,2021,What are the benefits of cow milk?
110_2,110,2,2021,What about an alternative. I’ve heard it's also made from almonds?
110_3,110,3,2021,Which is healthiest?
110_4,110,4,2021,"No, the vegan ones. Which of those alternatives is healthiest?"
110_5,110,5,2021,Can I make it at home?
110_6,110,6,2021,Oat seems popular now.  Why?
110_7,110,7,2021,I’m going to bake some cookies. Which one would be the best to use?
110_8,110,8,2021,What would be second best?
110_9,110,9,2021,What is the best in my morning latte?
110_10,110,10,2021,"I didn’t expect that. Really, hemp? Say more."
111_1,111,1,2021,"I saw a Tesla Roadster today which made me wonder, what is the world’s fastest car?"
111_2,111,2,2021,What is the first based on?
111_3,111,3,2021,How fast can the unmodified base car go?
111_4,111,4,2021,"No, I meant the Lotus."
111_5,111,5,2021,Can any go over 300 mph?
111_6,111,6,2021,What is the origin of funny cars? Why do they call them that?
111_7,111,7,2021,How fast did it go?
111_8,111,8,2021,"No, I meant the funny car.  But, that’s interesting. I heard it has a ludicrous mode. How does its quickness compare to the Venom?"
111_9,111,9,2021,It sounds like the Tesla is very competitive.  What makes its engine unique compared with gas ones?
111_10,111,10,2021,I heard they’ve been working on something even faster.
111_11,111,11,2021,Is the Roadster related to the other super cars we’ve talked about?
112_1,112,1,2021,What’s the history of steroid use in sports in the US?
112_2,112,2,2021,What were Ziegler’s improvements?
112_3,112,3,2021,Why are they banned?
112_4,112,4,2021,Are there visible signs?
112_5,112,5,2021,That sounds easy to spot.  How do they get away with it?
112_6,112,6,2021,What is the NFL policy?
112_7,112,7,2021,Isn’t that speed?
112_8,112,8,2021,What is the difference between the two policies?
112_9,112,9,2021,I heard it even affects card players. Didn't bridge also have a problem?
112_10,112,10,2021,I know what bridge is. I heard there was a drug scandal recently.
112_11,112,11,2021,Does the article have more about it?
113_1,113,1,2021,How do genes work?
