,qid,ndcg_cut_3,recall_200,query
0,1_1,0.0,0.0,what is a physician s assistant
0,1_2,0.0,0.0,what are the educational requirements required to become one
0,1_3,0.0,0.0,what does it cost
0,1_4,0.0,0.0,what s the average starting salary in the uk
0,1_5,0.0,0.0,what about in the us
0,1_6,0.0,0.0,what school subjects are needed to become a registered nurse
0,1_7,0.0,0.0,what is the pa average salary vs an rn
0,1_8,0.0,0.0,what the difference between a pa and a nurse practitioner
0,1_9,0.0,0.0,do nps or pas make more
0,1_10,0.0,0.0,is a pa above a np
0,1_11,0.0,0.0,what is the fastest way to become a np
0,1_12,0.0,0.0,how much longer does it take to become a doctor after being an np
0,2_1,0.0,0.0,what are the main breeds of goat
0,2_2,0.5307212739772434,0.2857142857142857,tell me about boer goats
0,2_3,0.0,0.14285714285714285,what breed is good for meat
0,2_4,0.0,0.0,are angora goats good for it
0,2_5,0.0,0.07692307692307693,what about boer goats
0,2_6,0.0,0.0,what are pygmies used for
0,2_7,0.0,0.0,what is the best for fiber production
0,2_8,0.0,0.0,how long do angora goats live
0,2_9,0.0,0.0,can you milk them
0,2_10,0.0,0.0,how many can you have per acre
0,2_11,0.0,0.0,are they profitable
0,4_1,0.23463936301137822,0.2,what was the neolithic revolution
0,4_2,0.0,0.0,when did it start and end
0,4_3,0.0,0.0,why did it start
0,4_4,0.0,0.0,what did the neolithic invent
0,4_5,0.0,0.0,what tools were used
0,4_6,0.0,1.0,when was it brought to the british isles
0,4_7,0.0,0.0,describe the period that follows it
0,4_8,0.0,0.0,what was its significance
0,4_9,0.0,0.0,what were the houses like
0,7_1,0.0,0.0,what are the different types of macromolecules
0,7_2,0.0,0.0,tell me about the characteristics of carbohydrates
0,7_3,0.0,0.0,what are they composed of
0,7_4,0.0,0.0,what is their basic structure
0,7_5,0.0,0.0,what are the main types with examples of each
0,7_6,0.0,0.0,tell me about lipids
0,7_7,0.0,0.0,what is their function
0,7_8,0.0,0.0,what are the types of lipids
0,7_9,0.0,0.0,what is the most common
0,7_10,0.0,0.0,what is the difference between them and carbohydrates
0,7_11,0.0,0.0,why are carbs better
0,15_1,0.0,0.6666666666666666,tell me about the international linguistics olympiad
0,15_2,0.0,0.0,how do i prepare for it
0,15_3,0.0,0.0,how tough is the exam
0,15_4,0.0,0.0,what kind of problems can i expect
0,15_5,0.0,1.0,tell me about the history of linguistics as a field
0,15_6,0.0,0.0,who was panini and what were his contributions
0,15_7,0.0,0.0,what is the link between linguistics and computer science
0,17_1,0.0,0.2,what are the different forms of energy
0,17_2,0.0,0.0,how can it be stored
0,17_3,0.0,0.0,what type of energy is used in motion
0,17_4,0.23463936301137822,0.07142857142857142,tell me about mechanical energy
0,17_5,0.0,0.0,give me some examples
0,17_6,0.23463936301137822,0.1,why is sound a form of mechanical energy
0,17_7,0.0,0.1,how does it differ from potential energy
0,17_8,0.0,0.0,are potential and kinetic the same
0,17_9,0.0,0.0,what type does chemical energy belong to
0,17_10,0.0,0.0,what form of energy is used in eating
0,18_1,0.0,0.1111111111111111,describe uranus
0,18_2,0.0,0.0,what makes it so unusual
0,18_3,0.0,0.0,tell me about its orbit
0,18_4,0.0,0.0,why is it tilted
0,18_5,0.0,0.0,how is its rotation different from other planets
0,18_6,0.0,0.0,what is peculiar about its seasons
0,18_7,0.0,0.0,are there any other planets similar to it
0,18_8,0.0,0.2857142857142857,describe the characteristics of neptune
0,18_9,0.0,0.0,why is it important to our solar system
0,18_10,0.0,0.0,how are these two planets similar to each other
0,18_11,0.0,0.0,can life exist on either of them
0,22_1,0.0,0.5,what are the most common spices used in cooking
0,22_2,0.0,0.0,how are they different from herbs
0,22_3,0.0,0.0,why do spices taste good
0,22_4,0.0,0.0,where do most of them come from
0,22_5,0.0,0.0,what cuisines use them heavily
0,22_6,0.0,0.0,what are the most popular indian ones
0,22_7,0.0,0.0,tell me about turmeric
0,22_8,0.0,0.0,are there any benefits of consuming it
0,22_9,0.0,0.0,what is the oldest spice
0,22_10,0.0,0.0,what is the most expensive and why
0,23_1,0.5,1.0,what are the main types of cattle farming
0,23_2,0.20151514190050246,0.75,what breeds produce the most milk
0,23_3,0.0,0.0,how much do holsteins produce
0,23_4,0.0,0.0,what is special about jersey milk
0,23_5,0.0,0.0,do we eat dairy cows
0,23_6,0.0,0.0,what are the most common breeds for meat
0,23_7,0.0,0.0,where are angus beef from
0,23_8,0.0,0.0,how much space do they need
0,24_1,0.0,0.0,how can i help my friend stop smoking
0,24_2,0.0,0.0,what are its long term effects
0,24_3,0.0,0.0,does it cause cancer
0,24_4,0.0,0.0,what makes it so addictive
0,24_5,0.0,0.3333333333333333,are there any alternatives to nicotine
0,24_6,0.0,0.3333333333333333,how effective are the patches
0,24_7,0.4796249331362629,0.5,tell me about the cold turkey method
0,24_8,0.0,1.0,describe typical withdrawal symptoms
0,25_1,0.23463936301137822,0.07692307692307693,tell me about orca whales
0,25_2,0.0,0.0,are they really whales
0,25_3,0.0,0.0,how do they hunt
0,25_4,0.0,0.0,what do they eat
0,25_5,0.0,0.0,where did they get their name
0,25_6,0.0,0.0,are they dangerous
0,25_7,0.0,0.0,where can go to watch them
0,25_8,0.0,0.0,when is a good season for spotting them
0,25_9,0.0,0.6666666666666666,how does captivity affect them
0,27_1,0.0,0.0,what comprises a balanced diet
0,27_2,0.0,0.0,is it the same for men as well as women
0,27_3,0.0,0.0,what are some specific recommendations for women
0,27_4,0.0,0.0,are dairy products necessary for a good health
0,27_5,0.0,0.0,can it harm you instead
0,27_6,0.0,0.0,how necessary is fiber
